tweet_text,cyberbullying_type
rape is real..zvasiyana nema jokes about being drunk or being gay or being lesbian...rape is not ones choice or wish..thtz where the sensitivity is coming from,gender
You never saw any celebrity say anything like this for Obama: B Maher Incest Rape 'Joke' S Colbert Gay 'joke' K Griffin beheading 'joke',gender
"@ManhattaKnight I mean he's gay, but he uses gendered slurs and makes rape jokes",gender
RT @Raul_Novoa16: @AliciaBernardez @Alex_Aim @_mecaesmal  feminazi,gender
Rape is rape. And the fact that I read one post about a guy getting raped and the comments are calling him gay and he should be happy...? stfu and I really hope no one takes this as a joke tf you own no ones body. You have no rights to do whatever you want to someone else.,gender
"@coiny Also, it's hard to take a company seriously re: harassment when the game has rape jokes &amp; gay jokes and treats women the way it does.",gender
"Idgaf if you are gay, lesbian, bisexual, or whatever the fuck you are, you don't fuck make a rape joke and think it's fucken ok",gender
"#GermanProfessor gives meaning to term FemiNazi.Doesn't hire ""Indian Men"" bcz of ""Indias's Rape Problem""",gender
RT @mcclure111: #DontDateSJWs #ThatWouldBeAViolationOfTheRestrainingOrder,gender
So I call you female I’m basically calling you a bitch ?,gender
"Simple things please simple minds. @pumpkinking39 I'm not sexist but dammit, the best jokes are.",gender
I know the worst feeling for a female gotta be when they break a nail I can just tell that shit hurt like a bitch,gender
"SO HILARIOUS U WRITE UR OWN MATERIAL? @JesseElJefe A lot of ppl call me sexist. But those ppl are women, and their opinions don't matter.",gender
"“We voted for a guy who said he’d rather have a dead son than a gay one, claimed POC weren’t ‘even good for procreation anymore’, &amp; told a female politician the only reason he wouldn’t rape her was bc she was ugly, but please don’t think we’re sexist, homophobic, or racist.”",gender
"I always get fucking pissed when I see a man joke about the sexual abuse of another man. “Wow. Please she should come &amp; rape me too, some of us want.” “Mans is complaining. Nigga you gay? ” What foolishness, mocking and minimizing someone's pain for bants. Are you okay at all?",gender
men who call women ‘females’ or ‘bitches’ have big i’ve never seen a real vagina energy,gender
"In a world where race jokes , gay jokes , and rape jokes aren’t acceptable comedy has taken a weird ass turn . Like you would think it would make comedy better but nah that’s really not the case.",gender
RT @beavergate: @MT8_9 I'd like to focus on the plight of the Beaver.  We are oppressed and I consider myself a victim.,gender
"@DrawPlayDave ""Nuke the gays"" is one of those ""ha ha no but really"" jokes. Whereas no one is actually pushing an agenda of child rape.",gender
@MEETtheBatman akdldkakakkd. What did you do. Was it an underage black gay cat rape joke?,gender
RT @BudLightBro FUCK. I'm not sexist but I have a girl in my recruit school AGAIN. Son of a bitch.,gender
"almost 2017 & yall still out here using gay as an insult, making rape jokes, &amp; degrading women bc of their sexual history?? thats gotta go.",gender
RT @_little_old_me: Who are the pretty girls these 2 blonde scrubbers keep talking about? #MKR,gender
"I hope Twitter rips you a new one. You make me sick. @jimboslice_13 @ry_casper ""how to discribe rape. His dick was hungry!"" #notsexist",gender
I'm annoyed to have missed this live. Need some bitchy. #mkr2015 #mykitchenrules #mkr,gender
I call people bitches all the time. Male and female. Why did he call her one?,gender
"After Pacquiao's ""kill the gays"", Vice Ganda's endless rape jokes &amp; Duterte... I'm starting to think the Philippines likes train wrecks.",gender
"Cant call her a bitch, cause a bitch is a female dog, and female dogs are loyal, which these hoes are not.",gender
Im mad he didn't hit that bitch ! https://t.co/7sJtfx1SFy,gender
"RT @brian_day15: I swear, I'm not sexist, but I honestly just cannot stand the woman college football announcer on ESPN2",gender
"Morrison believes a Labor candidate's history of social media rape jokes required disendorsement saying ""the standard you walk past..."" A Liberal candidate's history of campaigning that gay people are paedophiles... Morrison: [keeps walking]",gender
were there no women on the ships? just gays? is that that why he loves rape jokes so much? doubt it.,gender
JODER xDDD @InkingMyPast @feminazi,gender
"When they speak its a dick joke, ""that's what she said huehuehue"", calling some gay/faggot, making rape/sexist/racist/homophobic comments",gender
RT @jcsliva1999 @Pjmcentee she is blond what do you want #notsexist,gender
"RT @souperfan2012: Hollywoods newest Feminazi movie remake will be titled ""Ben Her"".~Me",gender
from what people have said there are rape jokes and the gay characters are made into a joke so. hopefully thats as bad as it gets,gender
"RAPE AND PEDOPHILIA TW I don't read much on him because he's generally not someone i want to think about, the fact that he made a joke using a pedophilic rape manga about a year ago when the update was slow makes me question his choices immensely(+)",gender
"WATCH: Audience Revolts After #MargaretCho Jokes About Rape, Whites, Gay People http://feedproxy.google.com/~r/breitbart/~3/tTaMgreLj1g/ #Celebrity",gender
RT @smoovfellow The only thing a woman should help a man build is a relationship #tbh #nosexist,gender
rules of my friendship: no gay jokes no rape jokes no slurs of any kind just nothing hurtful okay thank,gender
"Thank you, uncle, brother, male cousin, father, male friend ... random MAN, for not doing what you weren't supposed to do. #BlameOneNotAll",gender
Hate when niggas say “females” fuckin annoying bitch call me a woman or don’t say nun at all,gender
"We're still two young, hot blondes... well you're young...#MKR",gender
"The whole punching up/down is not ok because it mocks the powerless for getting the short end of the stick in a system in which the powerful actively works to keep in place and benefits from. That makes sense to me. The rape jokes, gay jokes, Trans jokes all fall in here.",gender
RT @rooshv I would happily pay more for a flight if it would ensure no woman is near the controls. I bet a lot of women would too.,gender
"RT @sara771987: @adriennecgomez @MT8_9 there's too many people with common sense, sorry. We don't need to rely on feminism to bring about e…",gender
RT @Riqo_live I'm not sexist but i cant fall asleep if a females driving unless I'm on a xan,gender
*to the boy in my geometry class who made rape and gay jokes today*,gender
Like rape jokes onstage at E3 and achievements for killing gay people in DR3 and macklmore front lining the launch like just eugh. Eugh,gender
"Sudeep, did she invite him though? No right? Why are you getting worded up? You're okay with Parvesh Verma cause he speaks against Muslims but against an idiot like Imam because he called for chakka jam?",religion
@discerningmumin Islam has never been a resistance to oppression. It has always been source of oppression to both believers and non believer,religion
"Boy, your comment about Journalists wanting to keep churches closed is beneath you. As a Christian woman and human being your bosses filth is brushing off on you. Not at all unbiased and a down right lie. SHAME ON YOU.",religion
@ShashiTharoor @INCIndia Hindus were and are getting killed by Muslims terriorists in Kashmir. Congress mukt bharat will certainly happen if congressmen like you don’t change their idealogies and keep sounding like idiots. You actually don’t need enemies.,religion
"White supremicists? How many do you know? There a few idiots in all races. Where is anti-semitism coming from? Dems, BLM, Antifa, Muslims. You won’t appease them by throwing white supremacy. They hate you &amp; want to destroy Israel &amp; all Jews &amp; you know it.",religion
Urban naxal and a jihadi TT gang put together..wen more than 95% ot the population are happy to be united as one nation inspite of their diversity...who the F are u to preach otherwise..ur just a petty muslim activist...or should i say ground operative for Islamic Terrorism,religion
@OneLegSandpiper @DblBlackDs So what is to blame for the more than 100 Islamist terrorists organizations? The Book of Mormon?,religion
"It's not bjp, it's about you guys always support bad Muslims which makes you bad too, stop supporting those idiots..Hindus never do that..!!",religion
"@PetaIndia @peta IDIOTS, Rakshabandhan is a Hindu festival, and Hindus by their nature protect COWS! If you have guts put same poster and Tweet, for any Muslim festival! Now shut the f..k up and get lost",religion
But I think junk that u r born through Halala pl check Ur DNA bcz u people marry Ur chacheri mamaeri phuphurei sister how can u mentain this is ur actual face &amp; lastly the result is HALALAA . Abdul am I right HV u guts to say anything about Islamic Terrorism no bcz they r Ur com,religion
"@SecPompeo We did not say ""Let's make the white palace a mosque"", ""Let's open Hagia Sophia for the worship of the Muslims"". +++ we didn't ask you, pompeo. Or against your will understand that the old Turkey, or we (like an idiot teaches) will teach.",religion
What has happened to NYC.. it is not a Muslim stronghold. Have you forgotten 9-11 And who attacked u.s. idiot bush and the muslim Obama nation,religion
The Muslim Brotherhood President of Egypt was removed in 2013 by Obama... You guys are idiots.,religion
To RESTRICT Jihadis-Terrorists CONSPIRING Ghazwa-e-Hind Dar-ul-Harb JIHAD against Hindus-Hindutva-Hindusthan-Humanity&gt; their r RAKSHAK Hindus-Hindusthanis to PROTECT Maa Bharati BUT always backstabbed by Aalsi-Laalchi-Secular-Ignorant-Selfish HINDUS&gt;Before JIHADIS&gt;ELIMINATE them,religion
"Pence is a clear example of radical right wing hypocrisy! Not to mention support of illegal, unethical action by such a so-called Christian!",religion
"You should visit a Muslim country and see how WOKE they are, right before you're beheaded like the 2 British girl idiots who thought vacationing in Morocco was a ""good idea"". Don't be Blonde, err I mean stupid.",religion
"U can't accept Godse is terrorist, but still I'm hypocrite?. There is Islamic terrorism, there's Hindutva terrorism etc. It's there in every religion.U've such a 'big' brain but can't look up what's terrorism. Cause u can't accept the existence of one terrorist in ur community",religion
"Russian Hindus come out in support of @SPJ2020 who is a victim of religious persecution in Russia at the hands of an orthodox christian radical - Alexander Dvorkin. @MEAIndia @narendramodi @TOIIndiaNews @the_hindu @nytimes @Newsweek @RT_com @ZeeNewsHindi , article in @rusplt",religion
Both countries facing Islamic terrorism.israel helped us many times during war.china PLA also torturing Hong kongers .can u say against China,religion
Muslims who act like Erdogan can never do anything wrong are disgusting. Think of your Kurdish brothers and sisters you idiots.,religion
@Ammaawah @jm111t All you are doing with your verses is proving sexism in Islam.,religion
"@donnabrazile you need to really get right with God and stop lying, be the true Christian woman you have so often espoused and tell the truth... NOTHING IS WORTH LOSING YOUR SOUL OVER DONNA... WALK AWAY ... you will be protected ...",religion
"Oh look the idiot doesn’t want to miss the opportunity to virtue signal and call for justice.... it’s already happening Illham, not because you called for it either, but because it’s right. What you want it a public lynching or stoning like in Muslim countries... NO",religion
#AskAfridi Why Allah is gay? why prophet cuted the own penis? Why all Muslim are idiots? Why all muslim are brainless? Why Islam is religion of Terriosm? Why you are biggest chutiya on earth? Why pakistan is a terriost nation? Why pakistan is son of India?,religion
Is this your humanity that you call it so called Jihad ? According to it if you die as terrorist you will go to jannat . Abbe chutiye ho kya be .,religion
@yuskan0723 Here is what the scumbag Muslims do with children.  And then they use them for propaganda. http://t.co/JG5MeWh1ur,religion
@LifeInKhilafah Sharia - taking injustice to new heights.  #Islam http://t.co/mnN6nnR8zL,religion
"Look at how the Democrats support their cultural sites, but never say a word when I'm a weekly basis a Church is bombed, Christians are tortured, all in the name of Islam. Wake up Democrats, Radical Islam is going to eat you alive if you let it. #Hypocrisy",religion
"Like all of the protesters of anti CAA who are first order idiots, who does not understand it has got nothing to do with Indian Muslims, you too are an addition to that idiots list. Stupidity peaks when kudrati biryani is served in pandals.",religion
"Republicans are getting more ""radical right"" in their support of impeached Trump, as Christian groups start to call for President's removal.",religion
He is idiot but still I support him you go and do whatever you can. Manipulation and propaganda is done by Muslims. Pseudo secular card victim card played by muslim. This is the reason for your hatred we know. Problems are there some legacy issues there will sort out.,religion
"Let me tell u a hard truth: You Kashmiris have killed so much of our soldiers and innocent people (including Kashmiri Pandits) that you have sympathy from general public and today no one gives a fcuk about you people, who support Islamic terrorism..",religion
Uighur Muslims in China are being led onto trains headed to concentration camps to have their organs harvested while idiots in this country are tearing down statues looting rioting and beating up civilians bc of you know “OpPreSSiOn”,religion
"Try not defending the racist idiot then, you were the one talking about Muslim grooming gangs, not me!",religion
@AMohedin Okay. So we agree that the Taliban and ISIS and Saudis are implementing 33:33.,religion
U have destroyed your life. Welcome to the world of Islamic Terrorism.,religion
YOU DUMBASS IDIOTS YOU DONT HAVE THE RIGHT TO TELL ME HOW I FEEL ABOUT THIS ... ITS MY RELIGION AND I FOUND THAT SO DISRESPECTFUL FOR US MUSLIMS .. I HAVE THE RIGHT TO FEEL THAT WAY SO STFU,religion
"you idiots of Minneapolis, Muslims have you muffled! I’ll die before I celebrate anything muslim, enjoy your new fakeass religion!",religion
"THE ABC'S OF ISLAMS MUSLIMS= FIGHTERS,WAR MONGERS, DISCUSTING & DISTRUCTIVE= ISIS. ABC'S IF U PUT ALL THE WAR MONGERING PASSAGES TOGETHER IN THE QURAN U COME UP WITH ALLAHS PERFECT MUSLIM AND THAT WOULD BE THE TERRORIST. ISIS R ONLY 1 SUCH ALLAH ARMY, TALIBAN, HAMAS, HEZBOALLAH",religion
I don’t think you have read the Quran but only cherry picking quotes probably given to you by sites or other people. The Quran permits killing terrorists in self defence. You can interpret quotes to suit any argument which is what ISIS and you are doing,religion
"Great news! Kristina Lyke is an honest, hard working, intelligent, Christian woman who believes ALL human life is precious and that our American Constitution and Bill of Rights is to be defended. She is ""For the People"" of MI-08. #MIlikeLyke",religion
"U r talking of 1948, u don't know what world is facing by Islamic terrorism, u need to study a lot, u r totally wrong, trust me totally",religion
@officialuarh @sunniqaziboard you can see the mentality of idiots I want to see him jail rascal basterd.he is offering to kill muslim,religion
You're not going to get the response you're looking for. Give up. @PeerWorker,religion
"You don’t have to be radical to not support Trump,it’s very simple to see through his B.S. I’m just a regular guy,I can see he’s a snake;not sure how you,an ultra-Christian you tout yourself to be,fall for his shtick.",religion
"Don't you have enough so called human rights violation of #Pakistan to poke into? Alas! wish you commented rather on today's christian woman dragging into forced conversion to Islam in Pakistan. Appalling how can you force into a religion? sick mindset. Leave us alone, please!",religion
I am a straight Christian woman and I've boycotted Chick-Fil-A for many years because of their support for anti-LGBTQ policies and Alt Right politicians and PACS. Every single person has a duty to take a stand. Mine is small and probably insignificant but it makes me feel good.,religion
"Lastly, I have news for idiots who compare Modi with right wing populists elsewhere. Modi is uniquely despicable. He oversaw a massacre of a minority community and was elected to ""teach Muslims a lesson"". Shame on you and only you. There are no equivalents for Modi.",religion
"Bearing false witness is not a good look for a nice Christian woman like yourself. You need to get right with the Lord, Sarah. Repent . Now. The end times draw nigh.",religion
"And what about all the times these RW idiots call Muslims Pigs, Jihadis, Terrorists, and what not on an everyday basis? Just check SM and you'll see hashtags trending with such words.",religion
"@ikralla fyi, it looks like I was caught by it. I'm not a botter, so...",other_cyberbullying
"I need to just switch to an organization-based github, but I don't want to pay $25/month because I'm cheap. :\",other_cyberbullying
"RMAed my monoprice. Shoddy power bricks on those. Getting a refund and picking up another ASUS VG278HE. It's cheaper, anyways.",other_cyberbullying
@murphy_slaw https://t.co/M8w8xnUnDL,other_cyberbullying
"@1Life0Continues i've got the code to interpret &amp; analyze, but the weights themselves are going to take a lot of fiddling.",other_cyberbullying
"@krainboltgreene didn't mention your name. i call out behavior, not people. &lt;3",other_cyberbullying
RT @exokmv: i swear people are so fucking ignorant and annoying,other_cyberbullying
"Yeah, I've got a bit of a rageboner. Mentally speaking.",other_cyberbullying
RT @Laralyn: Uh... wow. https://t.co/CdoNLaApVr,other_cyberbullying
"The morning after, hung over, struggling to remember how that pile of o'reilly books ended up in your bed. ""WHAT DID I CODE LAST NIGHT""",other_cyberbullying
#mkr heading into 2017 with another instant restaurant round,other_cyberbullying
RT @BuzzFeedUK: When you accidentally open your front camera: http://t.co/gu35jqiPye,other_cyberbullying
That #BegaCheese ad is SO old I'm wondering if the old digger is still alive...  #MKR  lol,other_cyberbullying
"Getting OAPI's github set up. Transferred emojiautoblocker, created private projects, time to start importing code. http://t.co/dedqhCCDu1",other_cyberbullying
@jeremiahfelt those are waaaaay more spendy. this is the drive i have. just considering using built-in or if i should go software.,other_cyberbullying
@Jason_Gio he was already given my email a while ago by someone else.,other_cyberbullying
Yo lala is a #lowkey bully lmao,other_cyberbullying
"They are wearing pagers. Not in the ""I'm on call for a datacenter"" kind of way. Legit pagers.",other_cyberbullying
"@EPIPHANYRENEE Lol let's not get grand u fall in a plethora of categories 2 many 2 name lol petty,stubborn,bossy & a bully just 2 name a few",other_cyberbullying
"@promit_roy i'm not sure. I've never been down the track of art, so I don't have much to say about that.",other_cyberbullying
@Linguagroover confronting a redneck bully - I'm still white - and while facing that is right - I was still safe - unfairness breeds this,other_cyberbullying
"Sorry, I'm not going to say GamerGate is the same as ISIS, and you can shove your donation up your ass. @PeerWorker",other_cyberbullying
It's really hard to talk about abuse &amp; leave it with a positive message. Call to action is important to not discourage women from industry.,other_cyberbullying
@JillWetzler I ❤️ u,other_cyberbullying
@cjcsuhta full blown redis is overkill for what I'm doing. Will try this out. :),other_cyberbullying
@mikeage what isn't? ;P,other_cyberbullying
"Just a reminder, this is the kind of logic &amp; reasoning that we've come to expect from GG: http://t.co/7RjxqC3ZsG",other_cyberbullying
@JosephJ89 bully - pouts-,other_cyberbullying
@ThePeePs2 I am not taking life advice from someone that doesn't know the diff between wear and ware,other_cyberbullying
"Leo was freaking out because of the wind, so I buried him in luggage so he could sleep. http://t.co/ekriu0a5pN",other_cyberbullying
RT @wilkieii: The @InnovatingWomen account is literally @wadhwa retweeting himself talking for women in tech. Seriously. Look at it. #StopW…,other_cyberbullying
"If the judges didn't give their critique first, the other contestants wouldn't know what to say; they're just copying the judges #MKR",other_cyberbullying
@MariachiMacabre it's cool. Don't worry about it,other_cyberbullying
Brutal #Anal #Orgasm makes her pussy flow https://t.co/u6eKx0qU2S #Sex #Porn https://t.co/LA2nf6KSXd,other_cyberbullying
@TheQuinnspiracy I AM SO FUCKING EXCITED ARE YOU EXCITED,other_cyberbullying
@knifehorse holy shit,other_cyberbullying
"@vex0rian i was there, i remember the screams.",other_cyberbullying
"Kern was joking about ""triggering"" people the other day. Yeahhh. Kern went full Gater, big surprise. @iglvzx",other_cyberbullying
Both of the dogs are staring at me because they didn't know I could make noises this high pitched.,other_cyberbullying
@LeoKikiLady89 Funniest commercial I ever saw...until they did the Maury one.,other_cyberbullying
1 hour 21 minutes,other_cyberbullying
"@iglvzx @SwiftOnSecurity don't forget, we don't even *use* git. That's an export. We use svn. :P",other_cyberbullying
"@PeerWorker @EvvyKube when you're an asshole in someone's mentions and they react, it's not bullying.",other_cyberbullying
